Offence,Defence,Week,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att
Commanders,Cowboys,12,10,11,300,1,108,4,3,7,15,0,3
Seahawks,Cowboys,13,35,10,334,1,72,1,0,9,14,0,3
Cowboys,Giants,1,40,9,143,0,122,0,3,6,13,1,2
Cardinals,Giants,2,28,10,228,0,151,0,3,4,10,0,0
49ers,Giants,3,30,11,310,0,141,2,3,9,16,0,0
Seahawks,Giants,4,24,11,173,0,121,2,4,3,12,0,2
Dolphins,Giants,5,31,11,308,3,222,1,2,3,8,0,0
Bills,Giants,6,14,9,169,2,128,0,3,6,12,0,0
Commanders,Giants,7,7,14,249,1,76,6,10,1,15,2,3
Raiders,Giants,9,30,12,209,0,125,0,5,5,14,0,1
Cowboys,Giants,10,49,13,472,2,168,0,2,6,12,1,2
Commanders,Giants,11,19,14,256,6,174,4,2,5,13,1,1
Patriots,Giants,12,7,12,143,3,147,2,6,4,14,2,2
Patriots,Eagles,1,20,13,316,2,76,2,5,5,15,1,4
Vikings,Eagles,2,28,11,364,4,28,2,3,6,10,1,1
Buccs,Eagles,3,11,9,146,2,41,2,4,5,10,0,0
Rams,Eagles,5,14,8,222,0,54,4,4,6,14,2,3
Jets,Eagles,6,20,11,186,0,89,5,4,2,11,0,1
Dolphins,Eagles,7,17,8,216,1,45,4,3,4,11,0,2
Commanders,Eagles,8,31,11,397,1,84,1,2,7,12,0,3
Cowboys,Eagles,9,23,10,374,1,73,5,2,6,15,3,5
Chiefs,Eagles,11,17,12,177,2,168,1,6,8,17,2,3
Bills,Eagles,12,34,14,339,1,173,1,4,13,22,1,1
49ers,Eagles,13,42,9,314,0,146,2,2,8,11,1,1
Cardinals,Commanders,1,16,11,132,2,96,3,5,4,14,0,1
Broncos,Commanders,2,33,11,308,2,122,7,3,4,12,2,2
Bills,Commanders,3,37,10,218,1,168,0,1,9,15,0,1
Bears,Commanders,5,40,11,282,0,178,3,3,7,15,1,1
Falcons,Commanders,6,16,11,307,3,106,3,3,5,15,1,3
Giants,Commanders,7,14,14,279,2,106,4,8,5,16,0,0
Eagles,Commanders,8,38,12,319,2,59,2,2,8,13,1,1
Patriots,Commanders,9,17,12,220,1,107,0,6,3,12,1,2
Seahawks,Commanders,10,29,12,369,0,120,1,4,4,14,1,1
Giants,Commanders,11,31,12,246,0,91,9,7,5,14,0,1
Cowboys,Commanders,12,45,9,331,0,100,0,3,6,10,0,0
Dolphins,Commanders,13,45,11,228,3,167,0,3,7,13,2,2
Packers,Bears,1,38,11,245,0,92,1,5,9,16,1,2
Buccs,Bears,2,27,10,317,0,120,0,4,8,15,1,1
Chiefs,Bears,3,41,11,303,2,153,0,1,10,14,0,0
Broncos,Bears,4,31,9,223,0,97,1,4,6,11,0,0
Commanders,Bears,5,20,12,388,2,29,5,2,6,12,0,1
Vikings,Bears,6,19,11,181,1,46,2,5,2,13,1,2
Raiders,Bears,7,12,9,204,3,39,1,2,2,9,2,2
Chargers,Bears,8,30,10,298,1,54,0,2,7,13,0,1
Saints,Bears,9,24,12,214,0,87,0,4,7,14,0,1
Panthers,Bears,10,13,9,185,0,43,3,6,3,15,3,3
Lions,Bears,11,31,11,236,4,115,2,2,8,11,0,0
Vikings,Bears,12,10,11,185,4,73,2,3,2,9,0,2
Chiefs,Lions,1,20,11,226,1,90,0,5,5,14,0,1
Falcons,Lions,3,6,12,201,1,44,7,6,4,14,0,1
