Team,Week,3rd downs Att,3rd dwns Conv,4th downs Att,4th downs Conv,Passing Yards,Punts,Rushing,Sacks,Total drives,Turnovers
giants,14,14.454545454545455,4.818181818181818,2.090909090909091,1.0,198.0,5.363636363636363,98.36363636363636,5.909090909090909,11.545454545454545,1.2727272727272727
raiders,14,12.166666666666666,4.166666666666667,1.5833333333333333,0.8333333333333334,212.08333333333334,3.8333333333333335,89.41666666666667,2.3333333333333335,10.25,1.5833333333333333
buccs,14,13.833333333333334,5.583333333333333,1.0,0.6666666666666666,232.5,4.75,85.16666666666667,2.25,10.75,1.0833333333333333
saints,14,14.5,5.5,1.25,0.6666666666666666,258.0833333333333,4.5,105.08333333333333,2.25,11.75,1.3333333333333333
panthers,14,14.666666666666666,5.25,2.4166666666666665,1.3333333333333333,201.91666666666666,5.0,96.0,3.9166666666666665,10.75,1.25
falcons,14,13.5,5.5,1.1666666666666667,0.5,212.41666666666666,4.583333333333333,135.16666666666666,2.75,11.5,1.5
seahawks,14,12.454545454545455,4.181818181818182,1.2727272727272727,0.45454545454545453,241.45454545454547,3.727272727272727,94.9090909090909,2.4545454545454546,11.090909090909092,1.2727272727272727
49ers,14,10.666666666666666,5.0,0.6666666666666666,0.4166666666666667,266.0,3.1666666666666665,136.83333333333334,1.9166666666666667,10.75,0.8333333333333334
cowboys,15,13.923076923076923,6.846153846153846,1.3846153846153846,0.6923076923076923,276.0769230769231,2.4615384615384617,118.61538461538461,2.3076923076923075,10.307692307692308,0.8461538461538461
jets,15,13.363636363636363,3.272727272727273,1.8181818181818181,1.2727272727272727,209.9090909090909,5.545454545454546,85.27272727272727,4.363636363636363,11.636363636363637,1.9090909090909092
chiefs,15,12.538461538461538,5.923076923076923,0.9230769230769231,0.38461538461538464,274.38461538461536,3.3846153846153846,106.61538461538461,1.3846153846153846,10.384615384615385,1.7692307692307692
dolphins,15,11.461538461538462,4.846153846153846,1.3846153846153846,0.5384615384615384,266.15384615384613,3.0,132.69230769230768,1.7692307692307692,11.23076923076923,1.6153846153846154
jaguars,15,13.416666666666666,4.5,2.4166666666666665,1.25,251.25,4.666666666666667,102.16666666666667,2.0833333333333335,11.916666666666666,1.8333333333333333
bears,15,13.692307692307692,5.923076923076923,1.6153846153846154,0.8461538461538461,205.30769230769232,3.4615384615384617,138.0,2.923076923076923,10.76923076923077,1.6153846153846154
colts,15,13.3,5.0,2.1,1.1,236.2,4.0,110.9,2.0,11.3,1.7
steelers,15,13.692307692307692,4.769230769230769,1.0,0.38461538461538464,194.84615384615384,5.615384615384615,112.76923076923077,2.076923076923077,11.461538461538462,0.8461538461538461
ravens,15,12.363636363636363,5.454545454545454,0.8181818181818182,0.36363636363636365,223.0909090909091,3.727272727272727,156.0909090909091,2.272727272727273,11.090909090909092,1.0909090909090908
lions,15,14.083333333333334,5.916666666666667,2.4166666666666665,1.0833333333333333,260.5,3.3333333333333335,140.5,2.0,11.166666666666666,1.4166666666666667
patriots,15,13.307692307692308,4.384615384615385,1.5384615384615385,0.6153846153846154,204.53846153846155,5.538461538461538,101.92307692307692,2.4615384615384617,11.461538461538462,1.6153846153846154
chargers,15,13.916666666666666,5.833333333333333,1.9166666666666667,0.75,254.75,4.25,98.91666666666667,2.3333333333333335,11.0,1.1666666666666667
raiders,15,12.307692307692308,4.076923076923077,1.6153846153846154,0.9230769230769231,208.92307692307693,4.153846153846154,86.84615384615384,2.4615384615384617,10.384615384615385,1.6923076923076923
bills,15,13.083333333333334,6.5,1.0833333333333333,0.6666666666666666,267.5833333333333,2.9166666666666665,124.08333333333333,1.0833333333333333,10.833333333333334,1.4166666666666667
saints,15,14.153846153846153,5.3076923076923075,1.1538461538461537,0.6153846153846154,247.3846153846154,4.538461538461538,104.46153846153847,2.1538461538461537,11.692307692307692,1.3076923076923077
seahawks,15,12.333333333333334,4.0,1.25,0.4166666666666667,243.75,3.9166666666666665,92.83333333333333,2.5833333333333335,11.166666666666666,1.3333333333333333
rams,15,13.090909090909092,5.363636363636363,1.2727272727272727,0.7272727272727273,238.27272727272728,3.909090909090909,110.0,1.8181818181818181,10.454545454545455,1.0
