Week,Offence,Defence,Score,Total drives,Passing Yards,Turnovers,Rushing,Sacks,Punts,3rd dwns Conv,3rd downs Att,4th downs Conv,4th downs Att,Line,Vegas_Expected_Score,Total_Points_Vegas
3,packers,saints,18,12,259,1,95,1,4,8,18,1,3,-1.5,20.5,42.5
4,buccs,saints,26,11,246,1,114,1,4,8,15,0,0,-4.5,18.0,40.5
5,patriots,saints,0,14,132,3,45,2,8,1,14,0,2,1.5,19.5,37.5
6,texans,saints,20,12,199,1,120,2,5,4,11,0,0,-2.5,19.5,41.5
7,jaguars,saints,31,12,223,2,113,1,4,3,18,4,6,-1.5,19.5,40.5
8,colts,saints,27,12,213,1,164,2,5,7,16,1,1,-2.5,20.5,43.5
9,bears,saints,17,11,220,5,156,2,2,6,12,1,1,-10.5,16.0,42.5
10,vikings,saints,27,12,268,0,125,1,6,6,15,0,0,-2.5,19.5,41.5
12,falcons,saints,24,9,168,2,228,0,2,4,8,0,1,-1.5,20.5,42.5
13,lions,saints,33,12,213,0,142,1,5,6,13,0,0,3.5,26.0,48.5
14,panthers,saints,6,12,137,2,204,4,2,8,20,1,7,-5.5,17.0,39.5
15,giants,saints,6,9,190,0,60,7,5,2,16,3,5,-6.5,16.5,39.5
16,rams,saints,30,10,328,0,133,1,2,4,12,1,1,4.5,25.5,46.5
17,buccs,saints,13,12,309,4,57,2,5,2,8,1,1,2.5,22.5,42.5
18,falcons,saints,17,13,318,3,78,1,5,4,11,0,1,-3.5,19.0,41.5
1,falcons,panthers,24,13,115,0,130,4,7,2,10,0,0,3.5,21.5,39.5
2,saints,panthers,20,11,236,1,134,4,5,7,16,0,0,3.5,21.5,39.5
3,seahawks,panthers,37,13,296,1,146,2,2,3,13,1,1,5.5,24.5,43.5
4,vikings,panthers,21,9,139,2,135,2,4,1,8,1,2,4.5,25.0,45.5
5,lions,panthers,42,11,236,0,159,2,2,4,10,1,2,8.5,25.5,42.5
6,dolphins,panthers,42,12,262,1,162,0,4,7,13,0,0,13.5,30.0,46.5
8,texans,panthers,13,9,140,1,110,2,6,5,12,1,1,3.5,22.5,41.5
9,colts,panthers,27,9,127,1,78,1,5,4,13,0,0,1.5,23.5,45.5
10,bears,panthers,16,11,162,0,133,0,6,6,15,1,1,3.5,21.5,39.5
11,cowboys,panthers,33,9,204,0,107,0,3,7,16,0,0,10.5,27.0,43.5
12,titans,panthers,17,11,185,0,80,1,7,2,11,1,1,3.5,20.0,36.5
13,buccs,panthers,21,13,202,1,128,1,8,6,15,0,0,3.5,20.5,37.5
14,saints,panthers,28,11,119,1,97,1,5,3,10,0,0,5.5,22.5,39.5
15,falcons,panthers,7,10,152,2,52,0,5,6,13,0,1,2.5,17.5,32.5
16,packers,panthers,33,10,219,0,162,1,3,8,14,0,0,3.5,21.5,39.5
17,jaguars,panthers,26,11,207,0,155,6,6,1,13,3,6,3.5,20.5,37.5
18,buccs,panthers,9,10,137,0,113,3,6,6,16,0,0,5.5,21.0,36.5
1,ravens,texans,25,11,169,2,110,4,5,8,15,0,0,9.5,26.0,42.5
2,colts,texans,31,10,227,0,126,0,5,6,12,0,0,-2.5,18.5,39.5
3,jaguars,texans,17,11,288,2,116,0,4,9,15,0,0,7.5,25.0,42.5
4,steelers,texans,6,10,132,1,114,3,5,6,14,0,1,2.5,21.5,40.5
5,falcons,texans,21,12,351,2,96,0,5,7,14,0,0,2.5,22.0,41.5
6,saints,texans,13,10,357,2,89,2,3,6,15,0,2,2.5,22.0,41.5
8,panthers,texans,15,10,235,0,44,6,4,5,14,1,2,-3.5,19.0,41.5
9,buccs,texans,37,12,265,1,81,2,4,3,13,2,2,-2.5,19.0,40.5
10,bengals,texans,27,13,347,2,66,4,5,6,14,1,1,5.5,25.5,45.5
11,cardinals,texans,16,10,214,2,123,3,2,3,10,1,4,-5.5,21.5,48.5
12,jaguars,texans,24,11,407,1,81,4,4,6,13,0,1,1.5,24.5,47.5
13,broncos,texans,17,13,186,3,118,3,6,0,11,3,3,-3.5,22.0,47.5
14,jets,texans,30,13,301,1,79,4,5,6,15,1,1,-3.5,15.0,33.5
16,browns,texans,36,13,374,2,54,1,3,6,16,4,6,3.5,21.5,39.5
17,titans,texans,3,10,184,1,53,6,5,1,12,2,4,-5.5,19.0,43.5
18,colts,texans,19,12,141,1,227,1,4,1,11,0,1,-1.5,23.0,47.5
Wildcard,browns,texans,14,12,307,2,56,4,4,7,15,0,4,2.5,23.5,44.5
Divisional,ravens,texans,34,10,152,0,229,3,4,4,12,2,2,9.5,26.5,43.5
1,ginats,cowboys,0,12,110,3,108,7,3,5,16,3,5,-3.5,20.5,44.5
2,jets,cowboys,10,11,170,4,64,3,5,1,10,1,1,-8.5,14.5,37.5
3,cardinals,cowboys,28,9,189,0,222,2,2,5,10,0,0,-11.5,16.5,44.5
4,patriots,cowboys,3,11,207,3,53,2,5,4,13,0,2,-5.5,19.0,43.5
5,49ers,cowboys,42,13,253,1,170,1,4,6,11,0,1,3.5,24.0,44.5
6,chargers,cowboys,17,10,227,1,53,1,5,5,14,1,2,-1.5,24.0,49.5
8,rams,cowboys,20,11,204,1,92,2,5,4,13,1,2,-7.5,18.5,44.5
9,eagles,cowboys,28,9,207,0,109,3,5,7,14,2,2,3.5,25.0,46.5
10,ginats,cowboys,17,13,86,1,111,5,7,0,12,2,3,-17.5,11.0,39.5
